timestamp;latitude;longitude;altitude;horizontalAccuracy;verticalAccuracy;speed;course
2018-03-13 23:57:05 +0000;40.736568;-73.985048;20.647644;25.000000;25.000000;4.572000;120.937500
2018-03-13 23:57:12 +0000;40.736486;-73.984974;23.802673;25.000000;25.000000;4.320000;160.312500
2018-03-13 23:57:25 +0000;40.736525;-73.984862;23.674927;25.000000;25.000000;4.572000;15.820312
2018-03-13 23:57:26 +0000;40.736537;-73.984863;23.941254;10.000000;10.000000;4.176000;7.382812
2018-03-13 23:57:48 +0000;40.736631;-73.984831;24.424805;25.000000;25.000000;3.600000;14.062500
2018-03-13 23:57:58 +0000;40.736707;-73.984762;23.184204;25.000000;25.000000;1.980000;68.906250
2018-03-13 23:58:10 +0000;40.736777;-73.984686;26.656036;25.000000;25.000000;1.152000;13.007812
2018-03-13 23:58:12 +0000;40.736790;-73.984660;28.396484;10.000000;10.000000;3.132000;38.671875
2018-03-13 23:58:22 +0000;40.736870;-73.984574;27.541229;25.000000;25.000000;4.176000;33.046875
2018-03-13 23:58:28 +0000;40.736963;-73.984580;27.276764;25.000000;25.000000;2.556000;17.226562
2018-03-13 23:58:37 +0000;40.737053;-73.984615;26.713226;25.000000;25.000000;3.744000;17.578125
2018-03-13 23:58:38 +0000;40.737060;-73.984601;26.628571;10.000000;10.000000;3.744000;53.085938
2018-03-13 23:58:47 +0000;40.737148;-73.984561;27.357574;25.000000;25.000000;3.096000;324.843750
2018-03-13 23:58:56 +0000;40.737174;-73.984511;26.542633;10.000000;10.000000;0.000000;242.226562
2018-03-13 23:59:07 +0000;40.737244;-73.984432;27.077423;25.000000;25.000000;3.024000;22.500000
2018-03-13 23:59:13 +0000;40.737343;-73.984413;26.714417;25.000000;25.000000;3.852000;339.960938
2018-03-13 23:59:21 +0000;40.737435;-73.984393;28.170654;25.000000;25.000000;1.908000;242.226562
2018-03-13 23:59:26 +0000;40.737475;-73.984335;28.334595;10.000000;10.000000;2.772000;359.296875
2018-03-13 23:59:36 +0000;40.737565;-73.984363;30.095245;25.000000;25.000000;2.448000;297.421875
2018-03-13 23:59:45 +0000;40.737658;-73.984386;29.997559;25.000000;25.000000;1.764000;318.164062
2018-03-13 23:59:55 +0000;40.737753;-73.984410;28.312195;25.000000;25.000000;0.684000;333.281250
2018-03-14 00:00:06 +0000;40.737833;-73.984480;28.407806;25.000000;25.000000;2.700000;333.281250
2018-03-14 00:00:15 +0000;40.737893;-73.984587;26.432922;25.000000;25.000000;2.592000;304.453125
2018-03-14 00:00:22 +0000;40.737935;-73.984703;26.130341;10.000000;10.000000;4.104000;267.539062
2018-03-14 00:00:29 +0000;40.737961;-73.984834;24.721497;25.000000;25.000000;3.600000;301.289062
2018-03-14 00:00:35 +0000;40.737977;-73.984927;23.488861;10.000000;10.000000;1.944000;301.289062
2018-03-14 00:00:44 +0000;40.738018;-73.985041;21.700775;25.000000;25.000000;3.168000;297.773438
2018-03-14 00:00:47 +0000;40.738025;-73.985075;19.717010;10.000000;10.000000;0.612000;298.125000
2018-03-14 00:00:58 +0000;40.738061;-73.985185;18.556488;25.000000;25.000000;1.836000;298.125000
2018-03-14 00:01:07 +0000;40.738098;-73.985301;19.667542;25.000000;25.000000;0.864000;298.125000
2018-03-14 00:01:15 +0000;40.738142;-73.985406;21.733826;25.000000;25.000000;3.060000;288.281250
2018-03-14 00:01:25 +0000;40.738186;-73.985512;19.826202;25.000000;25.000000;2.268000;288.632812
2018-03-14 00:01:33 +0000;40.738209;-73.985629;20.380371;25.000000;25.000000;2.916000;288.281250
2018-03-14 00:01:41 +0000;40.738240;-73.985753;21.585358;25.000000;25.000000;2.880000;287.578125
2018-03-14 00:01:50 +0000;40.738284;-73.985865;23.510284;25.000000;25.000000;3.564000;286.875000
2018-03-14 00:01:53 +0000;40.738299;-73.985889;25.320465;10.000000;10.000000;0.972000;286.875000
2018-03-14 00:02:02 +0000;40.738354;-73.985992;23.940338;25.000000;25.000000;2.016000;307.617188
2018-03-14 00:02:12 +0000;40.738424;-73.986052;24.361938;10.000000;10.000000;0.612000;307.968750
2018-03-14 00:02:39 +0000;40.738496;-73.986139;29.692017;25.000000;25.000000;2.988000;281.953125
2018-03-14 00:02:49 +0000;40.738464;-73.986250;29.116211;25.000000;25.000000;2.556000;282.656250
2018-03-14 00:02:56 +0000;40.738383;-73.986311;30.352661;25.000000;25.000000;0.540000;281.953125
2018-03-14 00:03:04 +0000;40.738319;-73.986413;30.648804;25.000000;25.000000;1.620000;207.070312
2018-03-14 00:03:11 +0000;40.738252;-73.986493;31.616150;25.000000;25.000000;2.196000;207.070312
2018-03-14 00:03:19 +0000;40.738184;-73.986575;33.274841;25.000000;25.000000;1.512000;207.070312
2018-03-14 00:03:27 +0000;40.738113;-73.986654;31.044952;25.000000;25.000000;1.764000;210.585938
2018-03-14 00:03:34 +0000;40.738036;-73.986724;28.849884;25.000000;25.000000;4.212000;179.648438
2018-03-14 00:03:43 +0000;40.737964;-73.986650;24.920929;25.000000;25.000000;3.888000;127.617188
2018-03-14 00:03:51 +0000;40.737907;-73.986552;21.984558;25.000000;25.000000;1.944000;127.968750
2018-03-14 00:04:06 +0000;40.737862;-73.986448;22.914612;25.000000;25.000000;0.756000;128.320312
2018-03-14 00:04:11 +0000;40.737828;-73.986391;24.795990;10.000000;10.000000;3.240000;105.468750
2018-03-14 00:04:27 +0000;40.737736;-73.986339;26.640961;10.000000;10.000000;0.756000;106.171875
2018-03-14 00:04:35 +0000;40.737660;-73.986245;25.457336;25.000000;25.000000;6.984000;166.289062
2018-03-14 00:04:47 +0000;40.737572;-73.986290;25.057892;25.000000;25.000000;3.780000;196.875000
2018-03-14 00:04:55 +0000;40.737484;-73.986328;25.231659;25.000000;25.000000;8.136000;169.101562
2018-03-14 00:05:02 +0000;40.737389;-73.986349;26.610931;25.000000;25.000000;2.916000;191.953125
2018-03-14 00:05:10 +0000;40.737298;-73.986406;27.045593;25.000000;25.000000;3.168000;214.101562
2018-03-14 00:05:15 +0000;40.737237;-73.986410;27.436432;10.000000;10.000000;4.356000;188.085938
2018-03-14 00:05:22 +0000;40.737142;-73.986407;25.046234;25.000000;25.000000;3.420000;164.882812
2018-03-14 00:05:29 +0000;40.737062;-73.986467;26.848267;25.000000;25.000000;4.788000;205.312500
2018-03-14 00:05:35 +0000;40.737022;-73.986525;26.127747;10.000000;10.000000;3.060000;157.851562
2018-03-14 00:05:49 +0000;40.736928;-73.986492;26.647919;25.000000;25.000000;2.340000;133.242188
2018-03-14 00:05:59 +0000;40.736847;-73.986576;25.990601;25.000000;25.000000;5.040000;226.406250
2018-03-14 00:06:14 +0000;40.736848;-73.986697;26.558105;25.000000;25.000000;1.116000;279.492188
2018-03-14 11:39:44 +0000;40.736866;-73.986781;29.113699;65.000000;65.000000;-3.600000;-1.000000
2018-03-14 11:39:49 +0000;40.736876;-73.986771;28.740976;65.000000;65.000000;-3.600000;-1.000000
2018-03-14 11:39:56 +0000;40.736878;-73.986926;31.595001;50.000000;50.000000;-3.600000;-1.000000
2018-03-14 11:40:42 +0000;40.736814;-73.986768;29.474854;65.000000;65.000000;-3.600000;-1.000000
2018-03-14 11:41:01 +0000;40.736804;-73.986588;29.858505;65.000000;65.000000;-3.600000;-1.000000
2018-03-14 11:41:30 +0000;40.736942;-73.986858;33.028900;30.000000;30.000000;-3.600000;-1.000000
2018-03-14 11:41:34 +0000;40.736857;-73.986931;30.949646;25.000000;25.000000;-3.600000;-1.000000
2018-03-14 11:41:37 +0000;40.736774;-73.987006;17.477570;25.000000;25.000000;5.580000;220.078125
2018-03-14 11:41:42 +0000;40.736676;-73.987028;-7.541992;10.000000;10.000000;3.528000;147.656250
2018-03-14 11:41:50 +0000;40.736603;-73.986947;-23.635193;30.000000;30.000000;5.400000;102.656250
2018-03-14 11:41:55 +0000;40.736493;-73.987016;-22.879181;30.000000;30.000000;9.972000;206.718750
2018-03-14 11:42:02 +0000;40.736403;-73.987012;-25.905457;30.000000;30.000000;8.100000;142.382812
2018-03-14 11:42:12 +0000;40.736440;-73.986902;13.893219;25.000000;25.000000;3.672000;19.687500
2018-03-14 11:42:32 +0000;40.736508;-73.986918;10.254059;10.000000;10.000000;0.648000;156.796875
2018-03-14 11:42:40 +0000;40.736577;-73.987004;-2.875061;25.000000;25.000000;2.628000;253.476562
2018-03-14 11:42:46 +0000;40.736646;-73.987091;18.724945;25.000000;25.000000;1.512000;327.656250
2018-03-14 11:42:53 +0000;40.736671;-73.987217;17.432037;25.000000;25.000000;2.016000;281.601562
2018-03-14 11:42:56 +0000;40.736637;-73.987331;6.772491;30.000000;30.000000;10.908000;246.445312
2018-03-14 11:42:59 +0000;40.736604;-73.987448;14.645660;30.000000;30.000000;6.084000;249.960938
2018-03-14 11:43:03 +0000;40.736518;-73.987531;3.855896;30.000000;30.000000;5.400000;215.859375
